AMC,Portfolio Link,Aaum link,FactSheet Link ,TER link,SID link
axis_mf,https://www.axismf.com/statutory-disclosures,https://www.axismf.com/statutory-disclosures,https://www.axismf.com/downloads,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=3
360MF,https://www.360.one/asset-management/mutualfund/downloads/disclosures/,https://www.360.one/asset-management/mutualfund/downloads/disclosures/,https://www.360.one/asset-management/mutualfund/downloads/disclosures/,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=27
ABSLMF,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/forms-and-downloads/disclosures,https://mutualfund.adityabirlacapital.com/forms-and-downloads/factsheets,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=7
AngelMF,https://www.angelonemf.com/downloads,https://www.angelonemf.com/downloads,https://www.angelonemf.com/downloads,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=105
BajajMF,https://www.bajajamc.com/downloads?statutory-disclosures=,https://www.bajajamc.com/downloads?statutory-disclosures=,https://www.bajajamc.com/downloads?statutory-disclosures=,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=85
BandhanMF,https://bandhanmutual.com/downloads/other-disclosures,https://bandhanmutual.com/downloads/other-disclosures,https://bandhanmutual.com/downloads/factsheets,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=24
BoiMF,https://www.boimf.in/investor-corner#t2,https://www.boimf.in/regulatory-reports/aum-report,https://www.boimf.in/investor-corner#t2,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=4
BarodaMF,https://www.barodabnpparibasmf.in/downloads/monthly-portfolio-scheme,https://www.barodabnpparibasmf.in/mandatory-disclosures/average-assets-under-management-disclosure,https://www.barodabnpparibasmf.in/downloads/monthly-factsheet,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=5
CanraMF,https://www.canararobeco.com/documents/statutory-disclosures/scheme-dashboard/scheme-monthly-portfolio/?filteryear=2025&filtermonth=10&pagination=1,https://www.canararobeco.com/documents/statutory-disclosures/disclosure-of-aaum-aum/disclosure-of-aaum/?searchyear=2025-26,https://www.canararobeco.com/documents/forms-downloads/forms-information-documents/information-documents/factsheets/,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=8
capitalmind,https://capitalmindmf.com/statutory-disclosures.html#,https://capitalmindmf.com/statutory-disclosures.html#,https://capitalmindmf.com/factsheet.html#,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=101
choice,https://choicemf.com/disclosures/monthly-portfolio,https://choicemf.com/disclosures/average-aum,https://choicemf.com/disclosures/factsheets,https://www.amfiindia.com/ter-of-mf-schemes,
DSPMF,https://www.dspim.com/mandatory-disclosures/portfolio-disclosures,https://www.dspim.com/mandatory-disclosures/aum-disclosure,https://www.dspim.com/factsheets,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=11
EddelwiseMF,https://www.edelweissmf.com/statutory/portfolio-of-schemes,https://www.edelweissmf.com/statutory/other-disclosures,https://www.edelweissmf.com/downloads/factsheets,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=13
FranklinMF,https://www.franklintempletonindia.com/reports,https://www.franklintempletonindia.com/reports,https://www.franklintempletonindia.com/downloads/fund-literature,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=17
Groww,https://growwmf.in/statutory-disclosure/portfolio,https://growwmf.in/statutory-disclosure/aum-and-aaum,https://growwmf.in/downloads/fact-sheet,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=29
hdfc,https://www.hdfcfund.com/statutory-disclosure/portfolio/monthly-portfolio,https://www.hdfcfund.com/statutory-disclosure/aum,https://www.hdfcfund.com/investor-services/factsheets,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=19
helios,https://www.heliosmf.in/portfolio-disclosure/,https://www.heliosmf.in/downloads/,https://www.heliosmf.in/downloads/,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=87
hsbc,https://www.assetmanagement.hsbc.co.in/en/mutual-funds/investor-resources/information-library#&accordion1446811090=2,https://www.assetmanagement.hsbc.co.in/en/mutual-funds/investor-resources/information-library#&accordion1446811090=4,https://www.assetmanagement.hsbc.co.in/en/mutual-funds/investor-resources?Date=&Cap=&Doc=fund-factsheets#&module-17=1,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=20
icici,https://www.icicipruamc.com/media-center/downloads,https://www.icicipruamc.com/media-center/downloads,https://www.icicipruamc.com/media-center/downloads,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=21
invesco,https://invescomutualfund.com/literature-and-form?tab=Complete,https://invescomutualfund.com/about-us?tab=Assets,https://invescomutualfund.com/literature-and-form?tab=Factsheets,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=47
iti,https://www.itiamc.com/statuory-disclosure?type=Portfolio%20Disclosures,https://www.itiamc.com/statuory-disclosure?type=Assets%20Under%20Management%20(AUM),https://www.itiamc.com/downloads,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=72
jio,https://www.jioblackrockamc.com/statutory-disclosure/disclosures/monthly-portfolio-disclosure,https://www.jioblackrockamc.com/statutory-disclosure/disclosures/disclosure-of-aum,https://www.jioblackrockamc.com/statutory-disclosure/fund-documents/factsheet,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=102
jmfinancial,https://www.jmfinancialmf.com/downloads/Portfolio-Disclosure/Monthly-Portfolio-of-Schemes,https://www.jmfinancialmf.com/downloads/Statutory-Disclosure/Assets-Under-Management-(AUM)-disclosure,https://www.jmfinancialmf.com/downloads/Factsheet/Factsheet,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=30
kotak,https://www.kotakmf.com/Information/statutory-disclosure,https://www.kotakmf.com/Information/statutory-disclosure,https://www.kotakmf.com/Information/statutory-disclosure,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=33
lic,https://www.licmf.com/downloads/monthly-portfolio,https://www.licmf.com/statutory-disclosure,https://www.licmf.com/downloads/factsheet,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=34
mahindra,https://www.mahindramanulife.com/downloads#MANDATORY-DISCLOSURES-+-MONTHLY-PORTFOLIO-DISCLOSURE,https://www.mahindramanulife.com/downloads#MANDATORY-DISCLOSURES-+-MONTHLY-PORTFOLIO-DISCLOSURE,https://www.mahindramanulife.com/downloads,https://www.amfiindia.com/ter-of-mf-schemes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=2&mfId=36
